[11:54:06] Run started: categories=['multi_turn_base'], workers=3, max_entries=all
[11:54:06] ── multi_turn_base ──
[11:54:06]   Loaded 200 entries
[11:56:32]   [31/200] multi_turn_base_28: FAIL (25/31 = 81%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[11:56:40]   [32/200] multi_turn_base_32: FAIL (25/32 = 78%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:56:42]   [33/200] multi_turn_base_31: FAIL (25/33 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:56:46]   [34/200] multi_turn_base_33: PASS (26/34 = 76%)
[11:56:47]   [35/200] multi_turn_base_34: FAIL (26/35 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:56:59]   [36/200] multi_turn_base_36: PASS (27/36 = 75%)
[11:56:59]   [37/200] multi_turn_base_37: PASS (28/37 = 76%)
[11:56:59]   [38/200] multi_turn_base_35: FAIL (28/38 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:57:12]   [39/200] multi_turn_base_38: PASS (29/39 = 74%)
[11:57:15]   [40/200] multi_turn_base_40: PASS (30/40 = 75%)
[11:57:15]   [41/200] multi_turn_base_39: PASS (31/41 = 76%)
[11:57:22]   [42/200] multi_turn_base_41: PASS (32/42 = 76%)
[11:57:27]   [43/200] multi_turn_base_42: FAIL (32/43 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:57:29]   [44/200] multi_turn_base_43: PASS (33/44 = 75%)
[11:57:34]   [45/200] multi_turn_base_45: PASS (34/45 = 76%)
[11:57:37]   [46/200] multi_turn_base_44: PASS (35/46 = 76%)
[11:57:38]   [47/200] multi_turn_base_46: PASS (36/47 = 77%)
[11:57:42]   [48/200] multi_turn_base_47: PASS (37/48 = 77%)
[11:57:46]   [49/200] multi_turn_base_50: PASS (38/49 = 78%)
[11:57:50]   [50/200] multi_turn_base_49: PASS (39/50 = 78%)
[11:57:52]   [51/200] multi_turn_base_48: FAIL (39/51 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:57:59]   [52/200] multi_turn_base_51: PASS (40/52 = 77%)
[11:58:09]   [53/200] multi_turn_base_53: PASS (41/53 = 77%)
[11:58:11]   [54/200] multi_turn_base_52: PASS (42/54 = 78%)
[11:58:12]   [55/200] multi_turn_base_54: FAIL (42/55 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:58:22]   [56/200] multi_turn_base_57: PASS (43/56 = 77%)
[11:58:28]   [57/200] multi_turn_base_56: FAIL (43/57 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:58:32]   [58/200] multi_turn_base_55: PASS (44/58 = 76%)
[11:58:42]   [59/200] multi_turn_base_58: FAIL (44/59 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:58:53]   [60/200] multi_turn_base_60: PASS (45/60 = 75%)
[11:58:53]   [61/200] multi_turn_base_59: PASS (46/61 = 75%)
[11:59:01]   [62/200] multi_turn_base_61: PASS (47/62 = 76%)
[11:59:09]   [63/200] multi_turn_base_62: FAIL (47/63 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[11:59:13]   [64/200] multi_turn_base_63: PASS (48/64 = 75%)
[11:59:15]   [65/200] multi_turn_base_64: PASS (49/65 = 75%)
[11:59:24]   [66/200] multi_turn_base_65: PASS (50/66 = 76%)
[11:59:27]   [67/200] multi_turn_base_66: PASS (51/67 = 76%)
[11:59:31]   [68/200] multi_turn_base_67: PASS (52/68 = 76%)
[11:59:42]   [69/200] multi_turn_base_69: PASS (53/69 = 77%)
[11:59:44]   [70/200] multi_turn_base_70: FAIL (53/70 = 76%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:59:48]   [71/200] multi_turn_base_68: FAIL (53/71 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[11:59:59]   [72/200] multi_turn_base_71: PASS (54/72 = 75%)
[12:00:02]   [73/200] multi_turn_base_73: PASS (55/73 = 75%)
[12:00:09]   [74/200] multi_turn_base_72: FAIL (55/74 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:00:13]   [75/200] multi_turn_base_74: PASS (56/75 = 75%)
[12:00:19]   [76/200] multi_turn_base_76: FAIL (56/76 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:00:19]   [77/200] multi_turn_base_75: FAIL (56/77 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:00:25]   [78/200] multi_turn_base_77: PASS (57/78 = 73%)
[12:00:32]   [79/200] multi_turn_base_78: FAIL (57/79 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:00:34]   [80/200] multi_turn_base_79: PASS (58/80 = 72%)
[12:00:48]   [81/200] multi_turn_base_80: PASS (59/81 = 73%)
[12:00:50]   [82/200] multi_turn_base_82: PASS (60/82 = 73%)
[12:00:56]   [83/200] multi_turn_base_81: FAIL (60/83 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:01:02]   [84/200] multi_turn_base_83: PASS (61/84 = 73%)
[12:01:03]   [85/200] multi_turn_base_84: PASS (62/85 = 73%)
[12:01:10]   [86/200] multi_turn_base_85: FAIL (62/86 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:01:19]   [87/200] multi_turn_base_86: PASS (63/87 = 72%)
[12:01:21]   [88/200] multi_turn_base_87: PASS (64/88 = 73%)
[12:01:26]   [89/200] multi_turn_base_88: PASS (65/89 = 73%)
[12:01:34]   [90/200] multi_turn_base_91: FAIL (65/90 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:01:35]   [91/200] multi_turn_base_89: PASS (66/91 = 73%)
[12:01:44]   [92/200] multi_turn_base_90: FAIL (66/92 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:01:46]   [93/200] multi_turn_base_93: FAIL (66/93 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:01:56]   [94/200] multi_turn_base_92: FAIL (66/94 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[12:02:00]   [95/200] multi_turn_base_94: PASS (67/95 = 71%)
[12:02:03]   [96/200] multi_turn_base_95: PASS (68/96 = 71%)
[12:02:14]   [97/200] multi_turn_base_96: PASS (69/97 = 71%)
[12:02:17]   [98/200] multi_turn_base_98: FAIL (69/98 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:02:23]   [99/200] multi_turn_base_97: PASS (70/99 = 71%)
[12:02:25]   [100/200] multi_turn_base_100: PASS (71/100 = 71%)
[12:02:32]   [101/200] multi_turn_base_101: PASS (72/101 = 71%)
[12:02:32]   [102/200] multi_turn_base_99: FAIL (72/102 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:02:38]   [103/200] multi_turn_base_102: PASS (73/103 = 71%)
[12:02:43]   [104/200] multi_turn_base_104: FAIL (73/104 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:02:46]   [105/200] multi_turn_base_105: PASS (74/105 = 70%)
[12:02:54]   [106/200] multi_turn_base_103: PASS (75/106 = 71%)
[12:03:00]   [107/200] multi_turn_base_106: FAIL (75/107 = 70%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:03:02]   [108/200] multi_turn_base_107: PASS (76/108 = 70%)
[12:03:14]   [109/200] multi_turn_base_108: PASS (77/109 = 71%)
[12:03:24]   [110/200] multi_turn_base_109: PASS (78/110 = 71%)
[12:03:24]   [111/200] multi_turn_base_110: PASS (79/111 = 71%)
[12:03:29]   [112/200] multi_turn_base_111: PASS (80/112 = 71%)
[12:03:33]   [113/200] multi_turn_base_113: PASS (81/113 = 72%)
[12:03:38]   [114/200] multi_turn_base_112: PASS (82/114 = 72%)
[12:03:44]   [115/200] multi_turn_base_114: PASS (83/115 = 72%)
[12:03:46]   [116/200] multi_turn_base_115: PASS (84/116 = 72%)
[12:03:55]   [117/200] multi_turn_base_116: PASS (85/117 = 73%)
[12:04:01]   [118/200] multi_turn_base_118: PASS (86/118 = 73%)
[12:04:04]   [119/200] multi_turn_base_117: FAIL (86/119 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 5.
[12:04:09]   [120/200] multi_turn_base_119: PASS (87/120 = 72%)
[12:04:13]   [121/200] multi_turn_base_120: PASS (88/121 = 73%)
[12:04:15]   [122/200] multi_turn_base_121: FAIL (88/122 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:04:19]   [123/200] multi_turn_base_122: PASS (89/123 = 72%)
[12:04:25]   [124/200] multi_turn_base_123: PASS (90/124 = 73%)
[12:04:26]   [125/200] multi_turn_base_124: FAIL (90/125 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:04:39]   [126/200] multi_turn_base_127: PASS (91/126 = 72%)
[12:04:39]   [127/200] multi_turn_base_126: PASS (92/127 = 72%)
[12:04:40]   [128/200] multi_turn_base_125: FAIL (92/128 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:04:52]   [129/200] multi_turn_base_128: PASS (93/129 = 72%)
[12:04:54]   [130/200] multi_turn_base_130: PASS (94/130 = 72%)
[12:04:55]   [131/200] multi_turn_base_129: PASS (95/131 = 73%)
[12:05:03]   [132/200] multi_turn_base_132: PASS (96/132 = 73%)
[12:05:03]   [133/200] multi_turn_base_133: PASS (97/133 = 73%)
[12:05:13]   [134/200] multi_turn_base_131: PASS (98/134 = 73%)
[12:05:16]   [135/200] multi_turn_base_135: PASS (99/135 = 73%)
[12:05:21]   [136/200] multi_turn_base_134: PASS (100/136 = 74%)
[12:05:28]   [137/200] multi_turn_base_136: PASS (101/137 = 74%)
[12:05:30]   [138/200] multi_turn_base_137: PASS (102/138 = 74%)
[12:05:34]   [139/200] multi_turn_base_139: PASS (103/139 = 74%)
[12:05:42]   [140/200] multi_turn_base_138: PASS (104/140 = 74%)
[12:05:42]   [141/200] multi_turn_base_140: PASS (105/141 = 74%)
[12:05:50]   [142/200] multi_turn_base_141: PASS (106/142 = 75%)
[12:05:57]   [143/200] multi_turn_base_144: PASS (107/143 = 75%)
[12:06:00]   [144/200] multi_turn_base_143: PASS (108/144 = 75%)
[12:06:00]   [145/200] multi_turn_base_142: PASS (109/145 = 75%)
[12:06:11]   [146/200] multi_turn_base_146: PASS (110/146 = 75%)
[12:06:12]   [147/200] multi_turn_base_145: PASS (111/147 = 76%)
[12:06:13]   [148/200] multi_turn_base_147: FAIL (111/148 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:06:22]   [149/200] multi_turn_base_150: PASS (112/149 = 75%)
[12:06:27]   [150/200] multi_turn_base_148: PASS (113/150 = 75%)
[12:06:34]   [151/200] multi_turn_base_149: PASS (114/151 = 75%)
[12:06:39]   [152/200] multi_turn_base_151: FAIL (114/152 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:06:41]   [153/200] multi_turn_base_152: FAIL (114/153 = 75%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:06:48]   [154/200] multi_turn_base_155: FAIL (114/154 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:06:52]   [155/200] multi_turn_base_153: PASS (115/155 = 74%)
[12:06:59]   [156/200] multi_turn_base_154: FAIL (115/156 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:07:01]   [157/200] multi_turn_base_157: PASS (116/157 = 74%)
[12:07:10]   [158/200] multi_turn_base_158: PASS (117/158 = 74%)
[12:07:14]   [159/200] multi_turn_base_156: PASS (118/159 = 74%)
[12:07:15]   [160/200] multi_turn_base_159: PASS (119/160 = 74%)
[12:07:26]   [161/200] multi_turn_base_161: PASS (120/161 = 75%)
[12:07:29]   [162/200] multi_turn_base_160: FAIL (120/162 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:07:35]   [163/200] multi_turn_base_163: PASS (121/163 = 74%)
[12:07:41]   [164/200] multi_turn_base_162: PASS (122/164 = 74%)
[12:07:52]   [165/200] multi_turn_base_164: FAIL (122/165 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:07:53]   [166/200] multi_turn_base_165: PASS (123/166 = 74%)
[12:07:59]   [167/200] multi_turn_base_166: PASS (124/167 = 74%)
[12:08:09]   [168/200] multi_turn_base_168: FAIL (124/168 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[12:08:13]   [169/200] multi_turn_base_167: PASS (125/169 = 74%)
[12:08:13]   [170/200] multi_turn_base_169: PASS (126/170 = 74%)
[12:08:31]   [171/200] multi_turn_base_172: PASS (127/171 = 74%)
[12:08:32]   [172/200] multi_turn_base_170: PASS (128/172 = 74%)
[12:08:38]   [173/200] multi_turn_base_171: FAIL (128/173 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:08:48]   [174/200] multi_turn_base_173: FAIL (128/174 = 74%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:08:53]   [175/200] multi_turn_base_175: FAIL (128/175 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:09:00]   [176/200] multi_turn_base_176: PASS (129/176 = 73%)
[12:09:05]   [177/200] multi_turn_base_174: FAIL (129/177 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 3.
[12:09:05]   [178/200] multi_turn_base_177: FAIL (129/178 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:09:24]   [179/200] multi_turn_base_179: PASS (130/179 = 73%)
[12:09:25]   [180/200] multi_turn_base_178: PASS (131/180 = 73%)
[12:09:33]   [181/200] multi_turn_base_180: PASS (132/181 = 73%)
[12:09:34]   [182/200] multi_turn_base_182: PASS (133/182 = 73%)
[12:09:43]   [183/200] multi_turn_base_181: PASS (134/183 = 73%)
[12:09:56]   [184/200] multi_turn_base_184: PASS (135/184 = 73%)
[12:10:00]   [185/200] multi_turn_base_185: FAIL (135/185 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:10:10]   [186/200] multi_turn_base_183: FAIL (135/186 = 73%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:10:24]   [187/200] multi_turn_base_186: FAIL (135/187 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 5.
[12:10:27]   [188/200] multi_turn_base_187: PASS (136/188 = 72%)
[12:10:35]   [189/200] multi_turn_base_188: FAIL (136/189 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[12:10:47]   [190/200] multi_turn_base_189: FAIL (136/190 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 1.
[12:10:53]   [191/200] multi_turn_base_190: PASS (137/191 = 72%)
[12:10:55]   [192/200] multi_turn_base_191: PASS (138/192 = 72%)
[12:11:03]   [193/200] multi_turn_base_192: PASS (139/193 = 72%)
[12:11:09]   [194/200] multi_turn_base_193: PASS (140/194 = 72%)
[12:11:18]   [195/200] multi_turn_base_194: PASS (141/195 = 72%)
[12:11:24]   [196/200] multi_turn_base_195: FAIL (141/196 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 2.
[12:11:33]   [197/200] multi_turn_base_198: FAIL (141/197 = 72%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 0.
[12:11:35]   [198/200] multi_turn_base_196: FAIL (141/198 = 71%) | error: Model response execution results so far does not contain all the ground truth response execution results for turn 4.
[12:11:35]   [199/200] multi_turn_base_197: PASS (142/199 = 71%)
[12:11:54]   [200/200] multi_turn_base_199: PASS (143/200 = 72%)
[12:11:54]   multi_turn_base: 143/200 (71.5%) in 1069s | cost=$3.71
[12:11:54] Run complete. Log: /Users/timmetim/development/glyphh-master/glyphh-models/bfcl/results/full-eval/run_20260311_115406.log
